Country Code,Economy,Income Group,Year,Latitude,Longitude
LKA,Sri Lanka,Low income (L),1987,"7,3","80,727"
ESP,Spain,High income (H),1987,"40,617","-3,388"
SSD,South Sudan,NA,1987,"7,1","30,48"
ZAF,South Africa,Lower middle income (LM),1987,"-31,7","23,441"
SOM,Somalia,Low income (L),1987,"2,875","43,446"
SLB,Solomon Islands,Low income (L),1987,"-9,611","160,19"
SVN,Slovenia,NA,1987,"46,037","14,534"
SVK,Slovak Republic,NA,1987,"488,595","194,434"
SXM,Sint Maarten (Dutch part),NA,1987,"18,041","-63,066"
SGP,Singapore,High income (H),1987,"1,364","103,81"
SLE,Sierra Leone,Low income (L),1987,"8,677","-11,779"
SYC,Seychelles,Upper middle income (UM),1987,"-4,627","55,461"
SRB,Serbia,NA,1987,"44,021","20,699"
SEN,Senegal,Lower middle income (LM),1987,"15,044","-15,081"
SAU,Saudi Arabia,High income (H),1987,"24,191","44,32"
STP,São Tomé and Principe,Low income (L),1987,"0,233","6,589"
SMR,San Marino,NA,1987,"43,934","12,454"
WSM,Samoa,Lower middle income (LM),1987,"-13,625","-172,42"
RWA,Rwanda,Low income (L),1987,"-1,887","29,904"
RUS,Russian Federation,NA,1987,"64,736","104,062"
ROU,Romania,Upper middle income (UM),1987,"45,933","25,119"
QAT,Qatar,High income (H),1987,"25,168","51,17"
PRI,Puerto Rico,Upper middle income (UM),1987,"18,242","-66,643"
PRT,Portugal,Upper middle income (UM),1987,"40,957","-79,373"
POL,Poland,Lower middle income (LM),1987,"52,442","19,72"
PHL,Philippines,Lower middle income (LM),1987,"17,181","121,256"
PER,Peru,Lower middle income (LM),1987,"-12,664","-72,98"
PRY,Paraguay,Lower middle income (LM),1987,"-23,266","-58,409"
PNG,Papua New Guinea,Lower middle income (LM),1987,"-5,636","142,798"
PAN,Panama,Upper middle income (UM),1987,"8,348","-81,005"
PLW,Palau,NA,1987,"7,473","134,549"
PAK,Pakistan,Low income (L),1987,"281,854","666,429"
OMN,Oman,Upper middle income (UM),1987,"19,85","56,25"
NOR,Norway,High income (H),1987,"613,701","93,031"
MNP,Northern Mariana Islands,NA,1987,"15,18","145,72"
NGA,Nigeria,Low income (L),1987,"93,417","7,678"
NER,Niger,Low income (L),1987,"16,996","9,915"
NIC,Nicaragua,Lower middle income (LM),1987,"12,692","-85,03"
NZL,New Zealand,High income (H),1987,"-42,558","172,377"
NCL,New Caledonia,Upper middle income (UM),1987,"-21,02","165,062"
NLD,Netherlands,High income (H),1987,"521,704","50,102"
NPL,Nepal,Low income (L),1987,"282,114","835,608"
NRU,Nauru,NA,1987,"-0,519","166,932"
NAM,Namibia,NA,1987,"-21,276","17,219"
MMR,Myanmar,Low income (L),1987,"21,841","96,05"
MOZ,Mozambique,Low income (L),1987,"-13,852","38,042"
MAR,Morocco,Lower middle income (LM),1987,"31,129","-7,355"
MNE,Montenegro,NA,1987,"42,857","19,096"
MNG,Mongolia,NA,1987,"46,516","102,564"
MCO,Monaco,NA,1987,"43,733","7,416"
MDA,Moldova,NA,1987,"47,524","28,444"
FSM,"Micronesia, Fed. Sts.",NA,1987,"7,531","150,457"
MEX,Mexico,Lower middle income (LM),1987,"22,925","-101,68"
MUS,Mauritius,Lower middle income (LM),1987,"-20,323","57,518"
MRT,Mauritania,Low income (L),1987,"19,413","-106,528"
MHL,Marshall Islands,NA,1987,"5,961","169,651"
MLT,Malta,Upper middle income (UM),1987,"35,884","14,446"
MLI,Mali,Low income (L),1987,"18,211","-2,209"
MDV,Maldives,Low income (L),1987,"4,221","73,463"
MYS,Malaysia,Lower middle income (LM),1987,"4,416","102,099"
MWI,Malawi,Low income (L),1987,"-13,258","33,723"
MDG,Madagascar,Low income (L),1987,"-19,615","46,645"
MKD,"Macedonia, FYR",NA,1987,"41,636","21,676"
MAC,"Macao SAR, China",Upper middle income (UM),1987,"22,132","113,558"
LUX,Luxembourg,High income (H),1987,"49,671","6,113"
LTU,Lithuania,NA,1987,"55,342","24,23"
LIE,Liechtenstein,NA,1987,"47,105","9,556"
LBY,Libya,Upper middle income (UM),1987,"27,24","17,571"
LBR,Liberia,Low income (L),1987,"6,51","-9,33"
LSO,Lesotho,Low income (L),1987,"-29,446","28,371"
LBN,Lebanon,Lower middle income (LM),1987,"34,161","36,021"
LVA,Latvia,NA,1987,"57,017","250,173"
LAO,Lao PDR,Low income (L),1987,"19,595","102,538"
KGZ,Kyrgyz Republic,NA,1987,"41,741","75,043"
KWT,Kuwait,High income (H),1987,"29,396","47,326"
XKX,Kosovo,NA,1987,"42,546","20,921"
KOR,"Korea, Rep.",Upper middle income (UM),1987,"36,338","128,16"
PRK,"Korea, Dem. Rep.",NA,1987,"39,767","126,389"
KIR,Kiribati,Lower middle income (LM),1987,"2,048","-158,59"
KEN,Kenya,Low income (L),1987,"0,806","38,166"
KAZ,Kazakhstan,NA,1987,"48,866","69,772"
JOR,Jordan,Lower middle income (LM),1987,"30,681","36,279"
JPN,Japan,High income (H),1987,"35,962","137,855"
JAM,Jamaica,Lower middle income (LM),1987,"18,163","-77,477"
ITA,Italy,High income (H),1987,"443,713","111,084"
ISR,Israel,High income (H),1987,"30,992","34,834"
IMN,Isle of Man,High income (H),1987,"54,234","-4,522"
IRL,Ireland,High income (H),1987,"53,214","-7,588"
IRQ,Iraq,Upper middle income (UM),1987,"33,545","43,278"
IRN,"Iran, Islamic Rep.",Upper middle income (UM),1987,"33,408","540,418"
IDN,Indonesia,Low income (L),1987,"-0,739","114,045"
IND,India,Low income (L),1987,"22,741","78,236"
ISL,Iceland,High income (H),1987,"64,826","-18,417"
HUN,Hungary,Upper middle income (UM),1987,"47,174","19,618"
HKG,"Hong Kong SAR, China",High income (H),1987,"22,436","114,099"
HND,Honduras,Lower middle income (LM),1987,"14,881","-87,123"
HTI,Haiti,Low income (L),1987,"193,175","-724,205"
GUY,Guyana,Low income (L),1987,"5,17","-58,939"
GNB,Guinea-Bissau,Low income (L),1987,"12,191","-14,475"
GIN,Guinea,Low income (L),1987,"10,599","-10,907"
GTM,Guatemala,Lower middle income (LM),1987,"15,124","-90,711"
GUM,Guam,High income (H),1987,"13,37","144,7"
GRD,Grenada,Lower middle income (LM),1987,"12,107","-61,681"
GRL,Greenland,High income (H),1987,71,-39
GRC,Greece,Upper middle income (UM),1987,"39,787","21,617"
GIB,Gibraltar,Upper middle income (UM),1987,"361,323","-53,478"
GHA,Ghana,Low income (L),1987,"7,258","-1,062"
DEU,Germany,High income (H),1987,"513,819","99,877"
GEO,Georgia,NA,1987,"42,05","43,576"
GMB,"Gambia, The",Low income (L),1987,"13,499","-14,641"
GAB,Gabon,Upper middle income (UM),1987,"-0,406","11,914"
PYF,French Polynesia,NA,1987,"-17,529","-149,53"
FRA,France,High income (H),1987,"46,656","2,543"
FIN,Finland,High income (H),1987,"62,716","26,192"
FJI,Fiji,Lower middle income (LM),1987,"-178,226","177,948"
FRO,Faeroe Islands,High income (H),1987,"62,053","-6,863"
ETH,Ethiopia,Low income (L),1987,"8,435","38,786"
EST,Estonia,NA,1987,"58,777","25,977"
ERI,Eritrea,NA,1987,"15,982","38,02"
GNQ,Equatorial Guinea,Low income (L),1987,"1,596","10,553"
SLV,El Salvador,Lower middle income (LM),1987,"13,848","-89,229"
EGY,"Egypt, Arab Rep.",Lower middle income (LM),1987,"26,16","28,742"
ECU,Ecuador,Lower middle income (LM),1987,"-1,151","-78,308"
DOM,Dominican Republic,Lower middle income (LM),1987,"19,01","-701,685"
DMA,Dominica,Lower middle income (LM),1987,"15,458","-61,35"
DJI,Djibouti,NA,1987,"11,41","42,165"
DNK,Denmark,High income (H),1987,"56,113","9,096"
CZE,Czech Republic,NA,1987,"49,848","152,812"
CYP,Cyprus,Upper middle income (UM),1987,"34,894","32,928"
CUW,Curaçao,NA,1987,"12,166",-69
CUB,Cuba,NA,1987,"20,571","-76,456"
HRV,Croatia,NA,1987,"45,754","16,385"
CIV,Côte d'Ivoire,Lower middle income (LM),1987,"7,497","-5,336"
CRI,Costa Rica,Lower middle income (LM),1987,"10,126","-84,075"
COG,"Congo, Rep.",Lower middle income (LM),1987,"0,509","16,08"
COD,"Congo, Dem. Rep.",Low income (L),1987,"-1,418","23,607"
COM,Comoros,Low income (L),1987,"-11,755","43,342"
COL,Colombia,Lower middle income (LM),1987,"3,794","-73,606"
CHN,China,Low income (L),1987,"351,753","993,877"
CHL,Chile,Lower middle income (LM),1987,"-23,176","-69,201"
CHI,Channel Islands,High income (H),1987,"49,457","-2,572"
TCD,Chad,Low income (L),1987,"15,981","18,781"
CAF,Central African Republic,Low income (L),1987,"7,043","21,424"
CYM,Cayman Islands,NA,1987,"19,331","-81,25"
CAN,Canada,High income (H),1987,"592,067","-1,111,937"
CMR,Cameroon,Lower middle income (LM),1987,"4,4","12,131"
KHM,Cambodia,Low income (L),1987,"12,69","104,444"
CPV,Cabo Verde,NA,1987,"15,416","-23,36"
BDI,Burundi,Low income (L),1987,"-3,333","29,749"
BFA,Burkina Faso,Low income (L),1987,"12,673","-1,226"
BGR,Bulgaria,NA,1987,"42,625","24,521"
BRN,Brunei Darussalam,High income (H),1987,"4,452","114,557"
VGB,British Virgin Islands,NA,1987,"18,439","-64,586"
BRA,Brazil,Upper middle income (UM),1987,"-11,694","-48,978"
BWA,Botswana,Lower middle income (LM),1987,"-22,126","23,662"
BIH,Bosnia and Herzegovina,NA,1987,"44,342","17,804"
BOL,Bolivia,Lower middle income (LM),1987,"-16,71","-65,183"
BTN,Bhutan,Low income (L),1987,"274,902","902,151"
BMU,Bermuda,High income (H),1987,"32,3","-64,761"
BEN,Benin,Low income (L),1987,"10,478","2,274"
BLZ,Belize,Lower middle income (LM),1987,"17,108","-88,744"
BEL,Belgium,High income (H),1987,"506,745","44,588"
BLR,Belarus,NA,1987,"533,292","279,492"
BRB,Barbados,Upper middle income (UM),1987,"13,147","-59,557"
BGD,Bangladesh,Low income (L),1987,"24,598","901,963"
BHR,Bahrain,High income (H),1987,"26,028","50,55"
BHS,"Bahamas, The",High income (H),1987,"24,616","-77,989"
AZE,Azerbaijan,NA,1987,"40,46","47,883"
AUT,Austria,High income (H),1987,"47,65","14,705"
AUS,Australia,High income (H),1987,"-24,578","133,582"
ABW,Aruba,High income (H),1987,"12,556","-70,024"
ARM,Armenia,NA,1987,"40,56","44,449"
ARG,Argentina,Upper middle income (UM),1987,"-33,166","-64,31"
ATG,Antigua and Barbuda,Upper middle income (UM),1987,"17,625","-61,786"
AGO,Angola,NA,1987,"-12,836","17,808"
AND,Andorra,NA,1987,"42,541","1,546"
ASM,American Samoa,High income (H),1987,"-14,316","-170,76"
DZA,Algeria,Upper middle income (UM),1987,"286,045","2,64"
ALB,Albania,NA,1987,"40,654","20,076"
AFG,Afghanistan,Low income (L),1987,"34,023","655,267"
ZWE,Zimbabwe,Lower middle income (LM),1988,"-19,098","30,047"
ZMB,Zambia,Low income (L),1988,"-15,13","25,268"
YEM,"Yemen, Rep.",Lower middle income (LM),1988,"15,569","47,793"
PSE,West Bank and Gaza,NA,1988,"32,097","35,26"
VIR,Virgin Islands (U.S.),High income (H),1988,"17,74","-64,8"
VNM,Vietnam,Low income (L),1988,"21,75","105,373"
VEN,"Venezuela, RB",Upper middle income (UM),1988,"6,983","-64,588"
VUT,Vanuatu,Lower middle income (LM),1988,"-15,339","166,89"
UZB,Uzbekistan,NA,1988,"41,757","63,958"
URY,Uruguay,Upper middle income (UM),1988,"-32,948","-56,249"
USA,United States,High income (H),1988,"400,792","-988,164"
GBR,United Kingdom,High income (H),1988,"52,289","-1,259"
ARE,United Arab Emirates,High income (H),1988,"239,299","539,031"
UKR,Ukraine,NA,1988,"49,364","32,132"
UGA,Uganda,Low income (L),1988,"19,392","327,415"
TUV,Tuvalu,NA,1988,"-7,48","178,68"
TCA,Turks and Caicos Islands,NA,1988,"21,816","-71,799"
TKM,Turkmenistan,NA,1988,"39,584","59,597"
TUR,Turkey,Lower middle income (LM),1988,"39,144","34,188"
TUN,Tunisia,Lower middle income (LM),1988,"35,594","9,421"
TTO,Trinidad and Tobago,Upper middle income (UM),1988,"10,448","-61,257"
TON,Tonga,Lower middle income (LM),1988,"-21,167","-175,19"
TGO,Togo,Low income (L),1988,"7,7","1,106"
TLS,Timor-Leste,NA,1988,"-8,856","125,556"
THA,Thailand,Lower middle income (LM),1988,"15,688","100,845"
TZA,Tanzania,Low income (L),1988,"-5,651","34,146"
TJK,Tajikistan,NA,1988,"38,367","72,597"
TWN,"Taiwan, China",High income (H),1988,"23,513","120,797"
SYR,Syrian Arab Republic,Lower middle income (LM),1988,"35,303","38,322"
CHE,Switzerland,High income (H),1988,"467,794","80,329"
SWE,Sweden,High income (H),1988,"662,188",19
SWZ,Swaziland,Lower middle income (LM),1988,"-26,596","31,47"
SUR,Suriname,Upper middle income (UM),1988,"4,248","-55,848"
SDN,Sudan,Low income (L),1988,"15,739","29,533"
VCT,St. Vincent and the Grenadines,Lower middle income (LM),1988,"13,234","-61,202"
MAF,St. Martin (French part),NA,1988,"18,081","-63,046"
LCA,St. Lucia,Lower middle income (LM),1988,"13,865","-60,98"
KNA,St. Kitts and Nevis,Upper middle income (UM),1988,"17,147","-62,58"
LKA,Sri Lanka,Low income (L),1988,"7,3","80,727"
ESP,Spain,High income (H),1988,"40,617","-3,388"
SSD,South Sudan,NA,1988,"7,1","30,48"
ZAF,South Africa,Upper middle income (UM),1988,"-31,7","23,441"
SOM,Somalia,Low income (L),1988,"2,875","43,446"
SLB,Solomon Islands,Lower middle income (LM),1988,"-9,611","160,19"
SVN,Slovenia,NA,1988,"46,037","14,534"
SVK,Slovak Republic,NA,1988,"488,595","194,434"
SXM,Sint Maarten (Dutch part),NA,1988,"18,041","-63,066"
SGP,Singapore,High income (H),1988,"1,364","103,81"
SLE,Sierra Leone,Low income (L),1988,"8,677","-11,779"
SYC,Seychelles,Upper middle income (UM),1988,"-4,627","55,461"
SRB,Serbia,NA,1988,"44,021","20,699"
SEN,Senegal,Lower middle income (LM),1988,"15,044","-15,081"
SAU,Saudi Arabia,High income (H),1988,"24,191","44,32"
STP,São Tomé and Principe,Low income (L),1988,"0,233","6,589"
SMR,San Marino,NA,1988,"43,934","12,454"
WSM,Samoa,Lower middle income (LM),1988,"-13,625","-172,42"
RWA,Rwanda,Low income (L),1988,"-1,887","29,904"
RUS,Russian Federation,NA,1988,"64,736","104,062"
ROU,Romania,Upper middle income (UM),1988,"45,933","25,119"
QAT,Qatar,High income (H),1988,"25,168","51,17"
PRI,Puerto Rico,Upper middle income (UM),1988,"18,242","-66,643"
PRT,Portugal,Upper middle income (UM),1988,"40,957","-79,373"
POL,Poland,Lower middle income (LM),1988,"52,442","19,72"
PHL,Philippines,Lower middle income (LM),1988,"17,181","121,256"
PER,Peru,Lower middle income (LM),1988,"-12,664","-72,98"
PRY,Paraguay,Lower middle income (LM),1988,"-23,266","-58,409"
PNG,Papua New Guinea,Lower middle income (LM),1988,"-5,636","142,798"
PAN,Panama,Lower middle income (LM),1988,"8,348","-81,005"
PLW,Palau,NA,1988,"7,473","134,549"
PAK,Pakistan,Low income (L),1988,"281,854","666,429"
OMN,Oman,Upper middle income (UM),1988,"19,85","56,25"
NOR,Norway,High income (H),1988,"613,701","93,031"
MNP,Northern Mariana Islands,NA,1988,"15,18","145,72"
NGA,Nigeria,Low income (L),1988,"93,417","7,678"
NER,Niger,Low income (L),1988,"16,996","9,915"
NIC,Nicaragua,Lower middle income (LM),1988,"12,692","-85,03"
NZL,New Zealand,High income (H),1988,"-42,558","172,377"
NCL,New Caledonia,Upper middle income (UM),1988,"-21,02","165,062"
NLD,Netherlands,High income (H),1988,"521,704","50,102"
NPL,Nepal,Low income (L),1988,"282,114","835,608"
NRU,Nauru,NA,1988,"-0,519","166,932"
NAM,Namibia,NA,1988,"-21,276","17,219"
MMR,Myanmar,Low income (L),1988,"21,841","96,05"
MOZ,Mozambique,Low income (L),1988,"-13,852","38,042"
MAR,Morocco,Lower middle income (LM),1988,"31,129","-7,355"
MNE,Montenegro,NA,1988,"42,857","19,096"
MNG,Mongolia,NA,1988,"46,516","102,564"
MCO,Monaco,NA,1988,"43,733","7,416"
MDA,Moldova,NA,1988,"47,524","28,444"
FSM,"Micronesia, Fed. Sts.",NA,1988,"7,531","150,457"
MEX,Mexico,Lower middle income (LM),1988,"22,925","-101,68"
MUS,Mauritius,Lower middle income (LM),1988,"-20,323","57,518"
MRT,Mauritania,Low income (L),1988,"19,413","-106,528"
MHL,Marshall Islands,NA,1988,"5,961","169,651"
MLT,Malta,Upper middle income (UM),1988,"35,884","14,446"
MLI,Mali,Low income (L),1988,"18,211","-2,209"
MDV,Maldives,Low income (L),1988,"4,221","73,463"
MYS,Malaysia,Lower middle income (LM),1988,"4,416","102,099"
MWI,Malawi,Low income (L),1988,"-13,258","33,723"
MDG,Madagascar,Low income (L),1988,"-19,615","46,645"
MKD,"Macedonia, FYR",NA,1988,"41,636","21,676"
MAC,"Macao SAR, China",Upper middle income (UM),1988,"22,132","113,558"
LUX,Luxembourg,High income (H),1988,"49,671","6,113"
LTU,Lithuania,NA,1988,"55,342","24,23"
LIE,Liechtenstein,NA,1988,"47,105","9,556"
LBY,Libya,Upper middle income (UM),1988,"27,24","17,571"
LBR,Liberia,Low income (L),1988,"6,51","-9,33"
LSO,Lesotho,Low income (L),1988,"-29,446","28,371"
LBN,Lebanon,Lower middle income (LM),1988,"34,161","36,021"
LVA,Latvia,NA,1988,"57,017","250,173"
LAO,Lao PDR,Low income (L),1988,"19,595","102,538"
KGZ,Kyrgyz Republic,NA,1988,"41,741","75,043"
KWT,Kuwait,High income (H),1988,"29,396","47,326"
XKX,Kosovo,NA,1988,"42,546","20,921"
KOR,"Korea, Rep.",Upper middle income (UM),1988,"36,338","128,16"
PRK,"Korea, Dem. Rep.",NA,1988,"39,767","126,389"
KIR,Kiribati,Lower middle income (LM),1988,"2,048","-158,59"
KEN,Kenya,Low income (L),1988,"0,806","38,166"
KAZ,Kazakhstan,NA,1988,"48,866","69,772"
JOR,Jordan,Lower middle income (LM),1988,"30,681","36,279"
JPN,Japan,High income (H),1988,"35,962","137,855"
JAM,Jamaica,Lower middle income (LM),1988,"18,163","-77,477"
ITA,Italy,High income (H),1988,"443,713","111,084"
ISR,Israel,High income (H),1988,"30,992","34,834"
IMN,Isle of Man,High income (H),1988,"54,234","-4,522"
IRL,Ireland,High income (H),1988,"53,214","-7,588"
IRQ,Iraq,Upper middle income (UM),1988,"33,545","43,278"
IRN,"Iran, Islamic Rep.",Upper middle income (UM),1988,"33,408","540,418"
IDN,Indonesia,Low income (L),1988,"-0,739","114,045"
IND,India,Low income (L),1988,"22,741","78,236"
ISL,Iceland,High income (H),1988,"64,826","-18,417"
HUN,Hungary,Upper middle income (UM),1988,"47,174","19,618"
HKG,"Hong Kong SAR, China",High income (H),1988,"22,436","114,099"
HND,Honduras,Lower middle income (LM),1988,"14,881","-87,123"
HTI,Haiti,Low income (L),1988,"193,175","-724,205"
GUY,Guyana,Low income (L),1988,"5,17","-58,939"
GNB,Guinea-Bissau,Low income (L),1988,"12,191","-14,475"
GIN,Guinea,Low income (L),1988,"10,599","-10,907"
GTM,Guatemala,Lower middle income (LM),1988,"15,124","-90,711"
GUM,Guam,High income (H),1988,"13,37","144,7"
GRD,Grenada,Lower middle income (LM),1988,"12,107","-61,681"
GRL,Greenland,High income (H),1988,71,-39
GRC,Greece,Upper middle income (UM),1988,"39,787","21,617"
GIB,Gibraltar,Upper middle income (UM),1988,"361,323","-53,478"
GHA,Ghana,Low income (L),1988,"7,258","-1,062"
DEU,Germany,High income (H),1988,"513,819","99,877"
GEO,Georgia,NA,1988,"42,05","43,576"
GMB,"Gambia, The",Low income (L),1988,"13,499","-14,641"
GAB,Gabon,Upper middle income (UM),1988,"-0,406","11,914"
PYF,French Polynesia,NA,1988,"-17,529","-149,53"
FRA,France,High income (H),1988,"46,656","2,543"
FIN,Finland,High income (H),1988,"62,716","26,192"
FJI,Fiji,Lower middle income (LM),1988,"-178,226","177,948"
FRO,Faeroe Islands,High income (H),1988,"62,053","-6,863"
ETH,Ethiopia,Low income (L),1988,"8,435","38,786"
EST,Estonia,NA,1988,"58,777","25,977"
ERI,Eritrea,NA,1988,"15,982","38,02"
GNQ,Equatorial Guinea,Low income (L),1988,"1,596","10,553"
SLV,El Salvador,Lower middle income (LM),1988,"13,848","-89,229"
EGY,"Egypt, Arab Rep.",Lower middle income (LM),1988,"26,16","28,742"
ECU,Ecuador,Lower middle income (LM),1988,"-1,151","-78,308"
DOM,Dominican Republic,Lower middle income (LM),1988,"19,01","-701,685"
DMA,Dominica,Lower middle income (LM),1988,"15,458","-61,35"
DJI,Djibouti,NA,1988,"11,41","42,165"
DNK,Denmark,High income (H),1988,"56,113","9,096"
CZE,Czech Republic,NA,1988,"49,848","152,812"
CYP,Cyprus,High income (H),1988,"34,894","32,928"
CUW,Curaçao,NA,1988,"12,166",-69
CUB,Cuba,NA,1988,"20,571","-76,456"
HRV,Croatia,NA,1988,"45,754","16,385"
CIV,Côte d'Ivoire,Lower middle income (LM),1988,"7,497","-5,336"
CRI,Costa Rica,Lower middle income (LM),1988,"10,126","-84,075"
COG,"Congo, Rep.",Lower middle income (LM),1988,"0,509","16,08"
COD,"Congo, Dem. Rep.",Low income (L),1988,"-1,418","23,607"
COM,Comoros,Low income (L),1988,"-11,755","43,342"
COL,Colombia,Lower middle income (LM),1988,"3,794","-73,606"
CHN,China,Low income (L),1988,"351,753","993,877"
CHL,Chile,Lower middle income (LM),1988,"-23,176","-69,201"
CHI,Channel Islands,High income (H),1988,"49,457","-2,572"
TCD,Chad,Low income (L),1988,"15,981","18,781"
CAF,Central African Republic,Low income (L),1988,"7,043","21,424"
CYM,Cayman Islands,NA,1988,"19,331","-81,25"
CAN,Canada,High income (H),1988,"592,067","-1,111,937"
CMR,Cameroon,Lower middle income (LM),1988,"4,4","12,131"
KHM,Cambodia,Low income (L),1988,"12,69","104,444"
CPV,Cabo Verde,Lower middle income (LM),1988,"15,416","-23,36"
BDI,Burundi,Low income (L),1988,"-3,333","29,749"
BFA,Burkina Faso,Low income (L),1988,"12,673","-1,226"
BGR,Bulgaria,NA,1988,"42,625","24,521"
BRN,Brunei Darussalam,NA,1988,"4,452","114,557"
VGB,British Virgin Islands,NA,1988,"18,439","-64,586"
BRA,Brazil,Lower middle income (LM),1988,"-11,694","-48,978"
BWA,Botswana,Lower middle income (LM),1988,"-22,126","23,662"
BIH,Bosnia and Herzegovina,NA,1988,"44,342","17,804"
BOL,Bolivia,Lower middle income (LM),1988,"-16,71","-65,183"
BTN,Bhutan,Low income (L),1988,"274,902","902,151"
BMU,Bermuda,High income (H),1988,"32,3","-64,761"
BEN,Benin,Low income (L),1988,"10,478","2,274"
BLZ,Belize,Lower middle income (LM),1988,"17,108","-88,744"
BEL,Belgium,High income (H),1988,"506,745","44,588"
BLR,Belarus,NA,1988,"533,292","279,492"
BRB,Barbados,Upper middle income (UM),1988,"13,147","-59,557"
BGD,Bangladesh,Low income (L),1988,"24,598","901,963"
BHR,Bahrain,High income (H),1988,"26,028","50,55"
BHS,"Bahamas, The",High income (H),1988,"24,616","-77,989"
AZE,Azerbaijan,NA,1988,"40,46","47,883"
AUT,Austria,High income (H),1988,"47,65","14,705"
AUS,Australia,High income (H),1988,"-24,578","133,582"
ABW,Aruba,High income (H),1988,"12,556","-70,024"
ARM,Armenia,NA,1988,"40,56","44,449"
ARG,Argentina,Upper middle income (UM),1988,"-33,166","-64,31"
ATG,Antigua and Barbuda,Upper middle income (UM),1988,"17,625","-61,786"
AGO,Angola,Lower middle income (LM),1988,"-12,836","17,808"
AND,Andorra,NA,1988,"42,541","1,546"
ASM,American Samoa,High income (H),1988,"-14,316","-170,76"
DZA,Algeria,Upper middle income (UM),1988,"286,045","2,64"
ALB,Albania,NA,1988,"40,654","20,076"
AFG,Afghanistan,Low income (L),1988,"34,023","655,267"
ZWE,Zimbabwe,Lower middle income (LM),1989,"-19,098","30,047"
ZMB,Zambia,Low income (L),1989,"-15,13","25,268"
YEM,"Yemen, Rep.",Lower middle income (LM),1989,"15,569","47,793"
PSE,West Bank and Gaza,NA,1989,"32,097","35,26"
VIR,Virgin Islands (U.S.),High income (H),1989,"17,74","-64,8"
VNM,Vietnam,Low income (L),1989,"21,75","105,373"
VEN,"Venezuela, RB",Upper middle income (UM),1989,"6,983","-64,588"
VUT,Vanuatu,Lower middle income (LM),1989,"-15,339","166,89"
UZB,Uzbekistan,NA,1989,"41,757","63,958"
URY,Uruguay,Upper middle income (UM),1989,"-32,948","-56,249"
USA,United States,High income (H),1989,"400,792","-988,164"
GBR,United Kingdom,High income (H),1989,"52,289","-1,259"
ARE,United Arab Emirates,High income (H),1989,"239,299","539,031"
UKR,Ukraine,NA,1989,"49,364","32,132"
UGA,Uganda,Low income (L),1989,"19,392","327,415"
TUV,Tuvalu,NA,1989,"-7,48","178,68"
TCA,Turks and Caicos Islands,NA,1989,"21,816","-71,799"
TKM,Turkmenistan,NA,1989,"39,584","59,597"
TUR,Turkey,Lower middle income (LM),1989,"39,144","34,188"
TUN,Tunisia,Lower middle income (LM),1989,"35,594","9,421"
TTO,Trinidad and Tobago,Upper middle income (UM),1989,"10,448","-61,257"
